
CommandType     Name                                               Version    Source
Cmdlet          Add-SqlAzureAuthenticationContext                  22.4.5.1   SqlServer
Cmdlet          Add-SqlColumnEncryptionKeyValue                    22.4.5.1   SqlServer
Cmdlet          Add-SqlLogin                                       22.4.5.1   SqlServer
Function        Add-StorageFaultDomain                             2.0.0.0    Storage
Function        Add-TargetPortToMaskingSet                         2.0.0.0    Storage
Cmdlet          Add-TeamChannelUser                                7.3.1      MicrosoftTeams
Cmdlet          Add-TeamUser                                       7.3.1      MicrosoftTeams
Alias           Add-TrustedProvisioningCertificate                 3.0        Provisioning
Cmdlet          Add-Type                                           7.0.0.0    Microsoft.PowerShell.Utility
Function        Add-VirtualDiskToMaskingSet                        2.0.0.0    Storage
Cmdlet          Add-VivaModuleFeaturePolicy                        3.9.0      ExchangeOnlineManagement
Cmdlet          Add-VivaOrgInsightsDelegatedRole                   3.9.0      ExchangeOnlineManagement
Function        Add-VMDirectVirtualDisk                            1.0.0.0    VMDirectStorage
Function        Add-VpnConnection                                  2.0.0.0    VpnClient
Function        Add-VpnConnectionRoute                             2.0.0.0    VpnClient
Function        Add-VpnConnectionTriggerApplication                2.0.0.0    VpnClient
Function        Add-VpnConnectionTriggerDnsConfiguration           2.0.0.0    VpnClient
Function        Add-VpnConnectionTriggerTrustedNetwork             2.0.0.0    VpnClient
Cmdlet          Add-WindowsCapability                              3.0        Dism
Cmdlet          Add-WindowsDriver                                  3.0        Dism
Cmdlet          Add-WindowsImage                                   3.0        Dism
Cmdlet          Add-WindowsPackage                                 3.0        Dism
Cmdlet          Add-WUServiceManager                               2.2.1.5    PSWindowsUpdate
Function        AfterAll                                           3.4.0      Pester
Function        AfterEach                                          3.4.0      Pester
Alias           Apply-WindowsUnattend                              3.0        Dism
Cmdlet          Approve-PnPTenantServicePrincipalPermissionRequest 3.1.0      PnP.PowerShell
Function        Assert-MockCalled                                  3.4.0      Pester
Function        Assert-VerifiableMocks                             3.4.0      Pester
Function        B:                                                            
Cmdlet          Backup-ASDatabase                                  22.4.5.1   SqlServer
Cmdlet          Backup-AzKeyVault                                  6.4.0      Az.KeyVault
Cmdlet          Backup-AzKeyVaultCertificate                       6.4.0      Az.KeyVault
Cmdlet          Backup-AzKeyVaultKey                               6.4.0      Az.KeyVault
Cmdlet          Backup-AzKeyVaultManagedStorageAccount             6.4.0      Az.KeyVault
Cmdlet          Backup-AzKeyVaultSecret                            6.4.0      Az.KeyVault
Function        Backup-BitLockerKeyProtector                       1.0.0.0    BitLocker
Cmdlet          Backup-SqlDatabase                                 22.4.5.1   SqlServer
Function        BackupToAAD-BitLockerKeyProtector                  1.0.0.0    BitLocker
Function        BackupToMSA-BitLockerKeyProtector                  1.0.0.0    BitLocker
Function        BeforeAll                                          3.4.0      Pester
Function        BeforeEach                                         3.4.0      Pester
Function        Block-FileShareAccess                              2.0.0.0    Storage
Function        Block-SmbClientAccessToServer                      2.0.0.0    SmbShare
